id,difficulty,category,question,ground_truth,block,theme,answer,latency,success,error
1,Easy,Keywords,"If I attack with a creature with [[Lifelink]] and my opponent blocks with a 1/1, do I still gain life equal to my creature's power?","Yes. Lifelink causes you to gain life equal to the damage dealt. Even if the blocker has only 1 toughness, your creature deals damage equal to its full power during the combat damage step.",1,Combat & Basic Keywords,"You gain life equal to the damage dealt to the blocking creature, which in this case is 1 life.",11.262791633605957,True,
2,Easy,Keywords,Can a creature with [[Flying]] be blocked by a creature with [[Reach]]?,Yes. Reach is a keyword specifically designed to allow creatures to block attackers with Flying as if the blocker also had Flying.,1,Combat & Basic Keywords,"Yes, a creature with flying can indeed be blocked by a creature with reach.",11.765374183654785,True,
3,Easy,Keywords,"If my creature has [[Vigilance]], does it still tap to activate an ability with the {T} symbol after it has attacked?","Yes. Vigilance means the creature does not tap to attack. Since it remains untapped after the declare attackers step, it is available to be tapped for other abilities later.",1,Combat & Basic Keywords,"Yes, a creature with vigilance can still tap to activate an ability with the {T} symbol after it has attacked, as it remains untapped due to its vigilance ability.",10.822345972061157,True,
4,Easy,Keywords,Does [[Ward 2]] counter a spell if the opponent doesn't pay the {2} mana?,"Yes. Ward is a triggered ability. When the creature becomes the target of a spell or ability an opponent controls, that spell/ability is countered unless the player pays the cost.",1,Combat & Basic Keywords,"If the opponent does not pay the {2} mana when a spell targets a creature with ward, that spell is countered.",10.538496971130371,True,
5,Medium,Keywords,"If I attack with a creature with [[Deathtouch]] and [[Trample]], and it is blocked, how much damage do I need to assign to the blocker?","You only need to assign 1 point of damage to the blocker. Because of Deathtouch, any amount of damage is considered lethal. The rest of the damage can 'trample' over to the defending player.",1,Combat & Basic Keywords,"You must assign at least 1 damage to the blocking creature due to deathtouch, and any excess damage can be assigned to the defending player or planeswalker.",11.317105770111084,True,
6,Easy,Keywords,Can a creature with [[Haste]] activate an ability with a {T} symbol the turn it comes into play?,Yes. Haste removes the restriction that prevents a creature from attacking or using tap abilities until you have controlled it since the beginning of your most recent turn.,1,Combat & Basic Keywords,"Yes, a creature with Haste can activate an ability with a {T} symbol the turn it comes into play.",9.415885925292969,True,
7,Medium,Turn Structure,Can I cast a creature spell during my opponent's end step if it does not have [[Flash]]?,"No. Without Flash, creatures can only be cast during your own main phases when the stack is empty.",1,Combat & Basic Keywords,You cannot cast a creature spell during your opponent's end step if it does not have Flash.,7.070969104766846,True,
8,Easy,Keywords,"If my creature has [[First Strike]] and my opponent's creature doesn't, and my creature's power is enough to kill theirs, does my creature take any damage?","No. Your creature deals damage in the first strike damage step. If the opponent's creature dies there, it won't be around to deal damage in the regular combat damage step.",1,Combat & Basic Keywords,"Thus, your creature will not take any damage in this scenario, as it destroys the opponent's creature before it has the opportunity to deal damage.",11.906598806381226,True,
9,Medium,Keywords,"If a creature has [[Indestructible]], does it die if its toughness is reduced to 0 by an effect like [[Toxic Deluge]]?","Yes. Indestructible only prevents destruction (from damage or 'destroy' effects). Having 0 toughness is a state-based action that puts the creature into the graveyard, which is not destruction.",1,Combat & Basic Keywords,A creature with indestructible does not die if its toughness is reduced to 0 by an effect like Toxic Deluge; it remains on the battlefield.,8.819397211074829,True,
10,Easy,Keywords,"If I have [[Double Strike]], do I get two triggers for an ability that says 'Whenever this creature deals combat damage'?","Yes. The creature deals damage in two separate steps (first strike and regular), so the ability will trigger twice, once for each time it deals damage.",1,Combat & Basic Keywords,"Thus, if you have a creature with double strike, you will receive two triggers for an ability that says ""Whenever this creature deals combat damage.""",10.624730825424194,True,
11,Medium,Stack,"I cast [[Lightning Bolt]] on my opponent's 3/3. In response, they cast a spell to give it +1/+1. Does the creature die?","No. The stack is 'Last-In, First-Out'. The +1/+1 spell resolves first, making the creature a 4/4. Then the Bolt deals 3 damage, which is no longer enough to kill it.",2,The Stack & Spell Interaction,The creature does not die; it remains on the battlefield with 3 damage marked on it.,7.754200220108032,True,
12,Medium,Stack,"If I cast a spell and my opponent casts [[Counterspell]], and then I cast another [[Counterspell]] targeting theirs, does my original spell resolve?","Yes. Your Counterspell resolves first, removing the opponent's Counterspell from the stack. Then, your original spell is next on the stack and will resolve normally.",2,The Stack & Spell Interaction,"Your original spell does indeed resolve successfully, as your second [[Counterspell]] countered the first [[Counterspell]] targeting it.",9.417813777923584,True,
13,Hard,Axioms / Stack,I activate [[The One Ring]] to draw cards. My opponent casts [[Vandalblast]] to destroy it in response. Do I still draw the cards?,"Yes. Once an ability is on the stack, it is independent of its source (Axiom 3). The ability will resolve using Last Known Information (LKI) about the counters on the Ring.",2,The Stack & Spell Interaction,"You will still draw the cards from The One Ring's ability, as it resolves independently of the Vandalblast targeting it.",11.058704853057861,True,
14,Medium,Triggers,"My opponent has [[Sheoldred, the Apocalypse]]. I cast [[Brainstorm]]. When do I lose the 6 life?","You lose the life after Brainstorm finishes resolving. Each card drawn triggers Sheoldred, but those triggers wait until the current spell is completely finished before being put on the stack.",2,The Stack & Spell Interaction,"You will lose 6 life from your opponent's triggers after you resolve **Brainstorm**, but you will gain 6 life simultaneously, resulting in no net change to your life total.",10.162643432617188,True,
15,Medium,Targets,Can I cast [[Fatal Push]] on a creature with [[Protection from Black]]?,"No. Protection prevents targeting. Since Fatal Push requires a 'target creature', a creature with protection from black is not a legal target for it.",2,The Stack & Spell Interaction,"You cannot cast Fatal Push on a creature with Protection from Black, as the protection prevents it from being targeted by the spell.",8.344634771347046,True,
16,Hard,Axioms / LKI,"I sacrifice [[Manglehorn]] to its own ability to destroy an artifact. If Manglehorn is in the graveyard, does the ability still work?",Yes. Abilities on the stack do not care if the source is still on the battlefield. The ability will resolve and destroy the targeted artifact.,2,The Stack & Spell Interaction,"Yes, you may sacrifice Manglehorn to its own ability, and the ability will still work, allowing you to destroy the target artifact.",8.387659549713135,True,
17,Medium,Stack,"If I cast a spell with [[Split Second]], can my opponent activate a mana ability in response?",Yes. Split Second prevents spells and non-mana abilities from being activated. Mana abilities (like tapping a land) do not use the stack and can still be used.,2,The Stack & Spell Interaction,"Your opponent may activate a mana ability in response to a spell with split second, but they cannot cast other spells or activate non-mana abilities until that spell resolves.",8.364045858383179,True,
18,Hard,Triggers,"I control [[Elesh Norn, Mother of Machines]] and an opponent's creature with an ETB ability enters the battlefield. Does it trigger?",No. Elesh Norn's second ability specifically states that permanents entering the battlefield don't cause abilities of permanents your opponents control to trigger.,2,The Stack & Spell Interaction,"The opponent's creature with an ETB ability does not trigger when it enters the battlefield while you control Elesh Norn, Mother of Machines.",8.32440996170044,True,
19,Medium,Stack,What happens if a spell on the stack has its only target removed before it resolves?,"The spell is 'fizzled' (removed from the stack by the game rules). None of its effects happen, not even the ones that don't depend on the target (like drawing a card).",2,The Stack & Spell Interaction,"If a spell on the stack has its only target removed before it resolves, the spell does not resolve and is put into its owner's graveyard.",7.522443771362305,True,
20,Hard,Costs,"If I have [[Thalia, Guardian of Thraben]] and I want to cast a spell for its [[Overload]] cost, do I still pay the extra {1}?","Yes. First you choose the base cost (Overload), then you apply any cost increases (Thalia), then any cost reductions. The {1} tax from Thalia is added to the Overload cost.",2,The Stack & Spell Interaction,"You must pay the extra {1} when casting a spell for its Overload cost while Thalia, Guardian of Thraben, is on the battlefield.",9.216253757476807,True,
21,Medium,Targets,"I cast [[Decimate]] targeting four legal targets. In response, my opponent hexproofs one of them. Does the spell still resolve?","Yes. A spell with multiple targets only fails to resolve if ALL of its targets become illegal. Since three targets are still legal, Decimate will destroy those three.",3,Targets & Triggers,"Decimate does not resolve because one of its targets became illegal due to hexproof, resulting in the spell being removed from the stack and sent to the graveyard.",9.247926473617554,True,
22,Easy,Keywords,Can I target a creature with [[Protection from Black]] using an ability from a black artifact?,"No. Protection from black prevents the creature from being Targeted, Enchanted/Equipped, Blocked, or Damaged (DEBT) by anything black, regardless of whether it is an artifact or a spell.",3,Targets & Triggers,"You cannot target a creature with protection from black using an ability from a black artifact, as the protection prevents it from being a legal target.",9.609881401062012,True,
23,Medium,Stack,"If I cast [[Ancestral Recall]] and my opponent responds with [[Misdirection]], can they make me draw the cards instead of them?","No. Ancestral Recall targets a 'player'. Misdirection can change the target to any legal player. Your opponent can choose themselves as the target, making them draw the cards.",3,Targets & Triggers,"Yes, your opponent can use Misdirection to make you draw the cards from Ancestral Recall instead of themselves.",8.782782077789307,True,
24,Hard,Copying,"I cast [[Fork]] targeting my opponent's [[Lightning Bolt]]. If the original Bolt is countered, what happens to the Fork?",Fork will fail to resolve (fizzle) because its only target (the Bolt on the stack) is no longer there. You do not get a copy of the spell.,3,Targets & Triggers,"Thus, when Fork resolves, it will create a copy of Lightning Bolt, but that copy will fail to have any legal targets and will not deal any damage.",10.178627252578735,True,
25,Medium,Flash,Can I cast a creature with [[Flash]] in response to my opponent's land play?,"No. Playing a land is a special action that does not use the stack. You do not receive priority while a land is being played, only after it has entered the battlefield.",3,Targets & Triggers,"You cannot cast a creature with Flash in response to your opponent's land play, as playing a land is a special action that does not use the stack and cannot be responded to.",7.915707588195801,True,
26,Easy,Keywords,"If my creature has [[Haste]], can I use an ability with the tap symbol the same turn it enters?",Yes. Haste allows a creature to attack and to use abilities with the tap or untap symbol even if you haven't controlled it since the beginning of your most recent turn.,3,Targets & Triggers,"Yes, if your creature has Haste, you can use an ability with the tap symbol the same turn it enters the battlefield.",8.54254412651062,True,
27,Hard,Replacement Effects,I have [[Hardened Scales]] in play and I cast a creature that enters with two +1/+1 counters. How many counters does it actually get?,It enters with three counters. Hardened Scales is a replacement effect that modifies the event of 'placing one or more counters' by adding one additional counter.,3,Targets & Triggers,The creature enters the battlefield with three +1/+1 counters due to the effect of Hardened Scales.,7.24396538734436,True,
28,Medium,Costs,"If I cast a spell for its [[Flashback]] cost, where does it go after it leaves the stack?","It is exiled. The Flashback keyword explicitly states that if the spell would leave the stack, it is exiled instead of going anywhere else.",3,Targets & Triggers,"Therefore, when you cast a spell for its flashback cost, it is exiled after it leaves the stack, regardless of whether it resolves or is countered.",11.018905401229858,True,
29,Medium,Combat,"I block a 5/5 creature with a 1/1. Before damage, I use [[Ninjustu]] to return the 1/1 to my hand. What happens to the 5/5?","The 5/5 is still considered 'blocked'. Unless it has Trample, it will deal no combat damage to the defending player, as it has no creature to assign damage to.",3,Targets & Triggers,"The 5/5 creature does not deal any combat damage because it is blocked by a creature that has been returned to your hand, resulting in no damage being assigned.",11.458937644958496,True,
30,Hard,Triggers,"I have [[Elesh Norn, Mother of Machines]] and my opponent plays a [[Ravenous Chupacabra]]. Does its ability trigger?",No. Elesh Norn's static ability prevents permanents entering the battlefield from causing abilities of permanents your opponents control to trigger.,3,Targets & Triggers,"Ravenous Chupacabra's ability does not trigger when it enters the battlefield due to Elesh Norn, Mother of Machines preventing abilities of permanents your opponents control from triggering.",9.50592851638794,True,
31,Easy,Mana,"If I tap a [[Llanowar Elves]] for mana, does it count as playing a land?",No. Tapping a creature for mana is an activated ability that adds mana to your mana pool. It is not the same as the special action of playing a land card.,4,Resources & Mana,Tapping Llanowar Elves for mana does not count as playing a land.,8.254683017730713,True,
32,Medium,Land Types,Can I search for a [[Stomping Ground]] if I use a fetch land like [[Wooded Foothills]]?,"Yes. Wooded Foothills searches for a Forest or a Mountain. Since Stomping Ground has both the 'Forest' and 'Mountain' subtypes, it is a legal target.",4,Resources & Mana,"You may indeed search for a **Stomping Ground** using **Wooded Foothills**, as it qualifies under the search criteria of being a Mountain or Forest.",8.355158567428589,True,
33,Easy,Mana,Does mana stay in my pool if I move from my First Main Phase to my Combat Phase?,"No. As each step or phase ends, any unspent mana is lost from your mana pool unless an effect specifically says otherwise.",4,Resources & Mana,"Consequently, any unspent mana in your mana pool will not remain when you transition from your First Main Phase to your Combat Phase; it will be emptied.",9.14456558227539,True,
34,Hard,Layers,My opponent has [[Dryad of the Ilysian Grove]]. I play [[Blood Moon]]. Do their lands still tap for any color?,"No. Blood Moon and Dryad both apply in Layer 4. Blood Moon has a later timestamp (if played after) or creates a dependency. The lands become Mountains and lose all other abilities, including the one granted by the Dryad.",4,Resources & Mana,"Your opponent's lands still tap for any color of mana, as they retain the abilities granted by **Dryad of the Ilysian Grove** despite being turned into Mountains by **Blood Moon**.",8.592963933944702,True,
35,Medium,Costs,"If I have [[Thalia, Guardian of Thraben]] in play, does it make my own [[Sol Ring]] cost 2 mana?","Yes. Thalia affects 'noncreature spells' cast by any player, including you. Sol Ring is an artifact (noncreature), so its cost is increased by 1.",4,Resources & Mana,"Therefore, with Thalia, Guardian of Thraben in play, casting Sol Ring will indeed cost you {2} mana.",7.493300676345825,True,
36,Easy,Lands,Can I play a land on my opponent's turn if it has [[Flash]]?,"No. Lands are never cast; they are played. You can only play a land during your own main phase when the stack is empty, regardless of Flash.",4,Resources & Mana,"You cannot play a land on your opponent's turn, even if you have a creature with Flash; lands can only be played during your own turn.",8.331652164459229,True,
37,Hard,Replacement Effects,"If I control [[Blood Moon]] and my opponent plays a [[City of Brass]], does the City deal 1 damage to them when tapped?",No. Blood Moon removes all printed abilities from nonbasic lands. The City of Brass is now just a Mountain with the ability '{T}: Add {R}'. Its triggered damage ability no longer exists.,4,Resources & Mana,"Therefore, when your opponent taps City of Brass while you control Blood Moon, it indeed deals 1 damage to them.",10.536728382110596,True,
38,Medium,Legendary Rule,I have a [[Mox Amber]] in play and I cast another one. What happens?,The Legend Rule applies. You must choose one to keep and put the other into its owner's graveyard as a state-based action. This does not count as destruction.,4,Resources & Mana,"The second Mox Amber is put into the graveyard due to the legendary rule, as you already control one with the same name.",7.301865577697754,True,
39,Easy,Mana,"If a spell costs {2}{G} and I have [[Trinisphere]], how much mana must I pay?","You pay 3 mana ({2}{G}). Trinisphere checks if the total cost is at least 3 mana. Since 2+1=3, Trinisphere does not increase the cost further.",4,Resources & Mana,"You must pay a total of three mana to cast the spell, regardless of its original cost of {2}{G}.",8.998860359191895,True,
40,Hard,Axioms / Sagas,I play [[Urza's Saga]] and my opponent has [[Strict Proctor]] in play. What happens to the Saga?,"The Saga enters the battlefield. Its Chapter I ability is a triggered ability. Strict Proctor triggers, and if you don't pay {2}, the Chapter I ability is countered. The Saga stays in play with 1 lore counter but no abilities gained from Chapter I.",4,Resources & Mana,"Urza's Saga enters the battlefield, but if you do not pay {2} to counter the triggered ability, it will not gain a second lore counter and will remain on the battlefield with only 1 lore counter, thus not being sacrificed.",9.849421739578247,True,
41,Medium,SBA,"If I have 0 or less life but I control [[Platinum Angel]], do I lose the game?",No. Platinum Angel's static ability creates a continuous effect that stops the state-based action of losing for having 0 life. You continue playing until the Angel leaves the battlefield.,5,State-Based Actions (SBA),"You do not lose the game while controlling Platinum Angel, even if your life total is 0 or less.",9.108094930648804,True,
42,Hard,SBA,I have 1 life and my opponent casts [[Lightning Helix]] on me. I respond with [[Stifle]] on the 'gain 3 life' part. Can I do that?,"No. Lightning Helix is a single spell, not a triggered ability. Stifle only targets activated or triggered abilities. The damage and life gain happen during the spell's resolution, not as separate triggers.",5,State-Based Actions (SBA),You cannot prevent the loss of the game; you will lose because the damage from **Lightning Helix** reduces your life total to 0 before the life gain can occur.,10.521026372909546,True,
43,Medium,Legendary Rule,"If I have [[Sakashima the Impostor]] copying a [[Griselbrand]], do I have to sacrifice one to the Legend Rule?","No. Sakashima's ability specifically states that its name remains 'Sakashima the Impostor'. Since the names are different, the Legend Rule does not apply even if they are both Legendary and have the same abilities.",5,State-Based Actions (SBA),"You do not have to sacrifice either Sakashima the Impostor or Griselbrand to the Legend Rule, as they do not share the same name.",9.824868202209473,True,
44,Easy,SBA,"If two 2/2 creatures with [[First Strike]] block each other, do they both die?","Yes. Both deal damage in the first strike damage step simultaneously. Since both receive lethal damage, they are both destroyed at the same time during state-based actions.",5,State-Based Actions (SBA),"Consequently, both 2/2 creatures with First Strike will indeed die as a result of this combat interaction.",9.481935024261475,True,
45,Hard,SBA,I control [[Death's Shadow]] (normally 13/13) and I am at 13 life. My opponent casts [[Night of Souls' Betrayal]] (-1/-1 to all creatures). Does my Shadow die?,"Yes. At 13 life, Death's Shadow is a 0/0. When Night of Souls' Betrayal applies, it becomes a -1/-1. It is put into the graveyard for having 0 or less toughness before you have a chance to lose life and grow it.",5,State-Based Actions (SBA),"Therefore, **Death's Shadow** does not die; it remains on the battlefield as a 12/12 creature.",10.194612264633179,True,
46,Medium,Tokens,"If a creature token is returned to my hand by [[Unsummon]], can I cast it again?",No. A token that leaves the battlefield ceases to exist as a state-based action. It cannot be moved back to the battlefield or cast from any other zone.,5,State-Based Actions (SBA),"Yes, you can cast the creature token again after it has been returned to your hand by **Unsummon**.",6.826977968215942,True,
47,Easy,Counters,"If my creature has a +1/+1 counter and it gets a -1/-1 counter, what happens?","The counters cancel each other out. As a state-based action, if a permanent has both +1/+1 and -1/-1 counters, they are removed in pairs until only one type (or none) remains.",5,State-Based Actions (SBA),"In this case, the creature will have its +1/+1 and -1/-1 counters removed, resulting in it returning to its original power and toughness.",9.021010160446167,True,
48,Hard,Axioms / SBA,"I control a Saga with 3 lore counters, and its final chapter is III. My opponent casts [[Dress Down]] in response to the chapter trigger. Does the Saga stay or go?","It stays. Under Axiom 2 (Rule 704.5s), a Saga is sacrificed only if it has lore counters >= final chapter number AND it has chapter abilities. Dress Down removes the abilities, so the sacrifice condition is not met.",5,State-Based Actions (SBA),"The Saga is sacrificed because it has 3 lore counters, equal to its final chapter number, and retains its chapter abilities despite Dress Down's effect.",10.96681523323059,True,
49,Medium,SBA,"If I have no cards in library and I am forced to 'put the top card of your library into your graveyard', do I lose the game?",No. You only lose the game if you are required to DRAW a card from an empty library. Putting cards from library to graveyard (milling) is not drawing.,5,State-Based Actions (SBA),"You do not lose the game simply by being forced to ""put the top card of your library into your graveyard"" when your library is empty, as this action cannot be completed.",8.209347009658813,True,
50,Easy,Combat,Can I block a creature with [[Shadow]] using a normal creature?,"No. Creatures with shadow can only be blocked by other creatures with shadow, and they can only block creatures with shadow.",5,State-Based Actions (SBA),You cannot block a creature with shadow using a normal creature; only creatures with shadow can block it.,7.939144134521484,True,
